event_id,session_id,event_type,event_timestamp,page_url,_etl_loaded_at
E001,S001,page_view,2024-01-15 10:00:00,/products,2024-06-01 06:00:00
E002,S001,product_click,2024-01-15 10:05:00,/products/101,2024-06-01 06:00:00
E003,S001,add_to_cart,2024-01-15 10:10:00,/products/101,2024-06-01 06:00:00
E004,S001,checkout,2024-01-15 10:25:00,/checkout,2024-06-01 06:00:00
E005,S001,purchase,2024-01-15 10:30:00,/order-confirmation,2024-06-01 06:00:00
E006,S002,page_view,2024-01-20 13:30:00,/sale,2024-06-01 06:00:00
E007,S002,product_click,2024-01-20 13:40:00,/products/102,2024-06-01 06:00:00
E008,S002,add_to_cart,2024-01-20 13:50:00,/products/102,2024-06-01 06:00:00
E009,S002,checkout,2024-01-20 13:58:00,/checkout,2024-06-01 06:00:00
E010,S002,purchase,2024-01-20 14:00:00,/order-confirmation,2024-06-01 06:00:00
E011,S003,page_view,2024-01-25 09:00:00,/,2024-06-01 06:00:00
E012,S003,page_view,2024-01-25 09:03:00,/about,2024-06-01 06:00:00
E013,S004,page_view,2024-02-01 09:00:00,/products/103,2024-06-01 06:00:00
E014,S004,add_to_cart,2024-02-01 09:10:00,/products/103,2024-06-01 06:00:00
E015,S004,product_click,2024-02-01 09:15:00,/products/104,2024-06-01 06:00:00
E016,S004,add_to_cart,2024-02-01 09:18:00,/products/104,2024-06-01 06:00:00
E017,S004,checkout,2024-02-01 09:22:00,/checkout,2024-06-01 06:00:00
E018,S004,purchase,2024-02-01 09:25:00,/order-confirmation,2024-06-01 06:00:00
E019,S005,page_view,2024-02-10 15:45:00,/products/103,2024-06-01 06:00:00
E020,S005,add_to_cart,2024-02-10 15:55:00,/products/103,2024-06-01 06:00:00
E021,S005,checkout,2024-02-10 16:00:00,/checkout,2024-06-01 06:00:00
E022,S005,purchase,2024-02-10 16:02:00,/order-confirmation,2024-06-01 06:00:00
E023,S006,page_view,2024-02-14 08:00:00,/,2024-06-01 06:00:00
E024,S007,page_view,2024-02-14 11:00:00,/products/104,2024-06-01 06:00:00
E025,S007,add_to_cart,2024-02-14 11:10:00,/products/104,2024-06-01 06:00:00
E026,S007,checkout,2024-02-14 11:25:00,/checkout,2024-06-01 06:00:00
E027,S007,purchase,2024-02-14 11:30:00,/order-confirmation,2024-06-01 06:00:00
E028,S008,page_view,2024-02-20 12:30:00,/products/108,2024-06-01 06:00:00
E029,S008,add_to_cart,2024-02-20 12:45:00,/products/108,2024-06-01 06:00:00
E030,S008,checkout,2024-02-20 13:00:00,/checkout,2024-06-01 06:00:00
E031,S008,purchase,2024-02-20 13:02:00,/order-confirmation,2024-06-01 06:00:00
E032,S009,page_view,2024-03-01 08:00:00,/sale,2024-06-01 06:00:00
E033,S009,product_click,2024-03-01 08:10:00,/products/105,2024-06-01 06:00:00
E034,S009,product_click,2024-03-01 08:20:00,/products/109,2024-06-01 06:00:00
E035,S009,add_to_cart,2024-03-01 08:30:00,/products/105,2024-06-01 06:00:00
E036,S009,add_to_cart,2024-03-01 08:32:00,/products/109,2024-06-01 06:00:00
E037,S009,checkout,2024-03-01 08:40:00,/checkout,2024-06-01 06:00:00
E038,S009,purchase,2024-03-01 08:45:00,/order-confirmation,2024-06-01 06:00:00
E039,S010,page_view,2024-03-05 14:00:00,/,2024-06-01 06:00:00
E040,S011,page_view,2024-03-10 14:30:00,/products,2024-06-01 06:00:00
E041,S011,product_click,2024-03-10 14:40:00,/products/106,2024-06-01 06:00:00
E042,S011,add_to_cart,2024-03-10 14:50:00,/products/106,2024-06-01 06:00:00
E043,S011,checkout,2024-03-10 15:00:00,/checkout,2024-06-01 06:00:00
E044,S011,purchase,2024-03-10 15:02:00,/order-confirmation,2024-06-01 06:00:00
E045,S012,page_view,2024-03-15 09:30:00,/products/101,2024-06-01 06:00:00
E046,S012,add_to_cart,2024-03-15 09:45:00,/products/101,2024-06-01 06:00:00
E047,S012,checkout,2024-03-15 10:00:00,/checkout,2024-06-01 06:00:00
E048,S012,purchase,2024-03-15 10:05:00,/order-confirmation,2024-06-01 06:00:00
