page_view_id,session_id,page_url,view_timestamp,duration_seconds,_etl_loaded_at
PV001,S001,/products,2024-01-15 10:00:00,300,2024-06-01 06:00:00
PV002,S001,/products/101,2024-01-15 10:05:00,300,2024-06-01 06:00:00
PV003,S001,/checkout,2024-01-15 10:25:00,300,2024-06-01 06:00:00
PV004,S001,/order-confirmation,2024-01-15 10:30:00,60,2024-06-01 06:00:00
PV005,S002,/sale,2024-01-20 13:30:00,600,2024-06-01 06:00:00
PV006,S002,/products/102,2024-01-20 13:40:00,600,2024-06-01 06:00:00
PV007,S002,/checkout,2024-01-20 13:58:00,120,2024-06-01 06:00:00
PV008,S002,/order-confirmation,2024-01-20 14:00:00,45,2024-06-01 06:00:00
PV009,S003,/,2024-01-25 09:00:00,180,2024-06-01 06:00:00
PV010,S003,/about,2024-01-25 09:03:00,120,2024-06-01 06:00:00
PV011,S004,/products/103,2024-02-01 09:00:00,600,2024-06-01 06:00:00
PV012,S004,/products/104,2024-02-01 09:15:00,180,2024-06-01 06:00:00
PV013,S004,/checkout,2024-02-01 09:22:00,180,2024-06-01 06:00:00
PV014,S004,/order-confirmation,2024-02-01 09:25:00,30,2024-06-01 06:00:00
PV015,S005,/products/103,2024-02-10 15:45:00,600,2024-06-01 06:00:00
PV016,S005,/checkout,2024-02-10 16:00:00,120,2024-06-01 06:00:00
PV017,S005,/order-confirmation,2024-02-10 16:02:00,30,2024-06-01 06:00:00
PV018,S006,/,2024-02-14 08:00:00,120,2024-06-01 06:00:00
PV019,S007,/products/104,2024-02-14 11:00:00,600,2024-06-01 06:00:00
PV020,S007,/checkout,2024-02-14 11:25:00,300,2024-06-01 06:00:00
PV021,S007,/order-confirmation,2024-02-14 11:30:00,45,2024-06-01 06:00:00
PV022,S008,/products/108,2024-02-20 12:30:00,900,2024-06-01 06:00:00
PV023,S008,/checkout,2024-02-20 13:00:00,120,2024-06-01 06:00:00
PV024,S008,/order-confirmation,2024-02-20 13:02:00,30,2024-06-01 06:00:00
PV025,S009,/sale,2024-03-01 08:00:00,600,2024-06-01 06:00:00
PV026,S009,/products/105,2024-03-01 08:10:00,600,2024-06-01 06:00:00
PV027,S009,/products/109,2024-03-01 08:20:00,600,2024-06-01 06:00:00
PV028,S009,/checkout,2024-03-01 08:40:00,300,2024-06-01 06:00:00
PV029,S009,/order-confirmation,2024-03-01 08:45:00,30,2024-06-01 06:00:00
PV030,S010,/,2024-03-05 14:00:00,180,2024-06-01 06:00:00
PV031,S011,/products,2024-03-10 14:30:00,600,2024-06-01 06:00:00
PV032,S011,/products/106,2024-03-10 14:40:00,600,2024-06-01 06:00:00
PV033,S011,/checkout,2024-03-10 15:00:00,120,2024-06-01 06:00:00
PV034,S011,/order-confirmation,2024-03-10 15:02:00,30,2024-06-01 06:00:00
PV035,S012,/products/101,2024-03-15 09:30:00,900,2024-06-01 06:00:00
PV036,S012,/checkout,2024-03-15 10:00:00,300,2024-06-01 06:00:00
PV037,S012,/order-confirmation,2024-03-15 10:05:00,30,2024-06-01 06:00:00
